Date,Price
2014-07-09,0.0002804257664578
2014-07-10,0.0002665059625107
2014-07-11,0.0002695524334549
2014-07-12,0.0002719614028643
2014-07-13,0.0002669058567679
2014-07-14,0.0002548111283711
2014-07-15,0.0002500341795011
2014-07-16,0.0002339715632711
2014-07-17,0.0002573163929575
2014-07-18,0.0002450111676522
2014-07-19,0.0002386116849964
2014-07-20,0.0002363620495857
2014-07-21,0.0002318744369192
2014-07-22,0.0002165246347178
2014-07-23,0.0002221309823112
2014-07-24,0.0002122130550595
2014-07-25,0.0002119556793519
2014-07-26,0.000203934187361
2014-07-27,0.0002172599347876
2014-07-28,0.0002035836007546
2014-07-29,0.0002093519007537
2014-07-30,0.0001958755014396
2014-07-31,0.0002068991368445
2014-08-01,0.0002093057536503
2014-08-02,0.0002062838084657
2014-08-03,0.0002003859014334
2014-08-04,0.0002005041817769
2014-08-05,0.0001862530004506
2014-08-06,0.0001792156549961
2014-08-07,0.0001785002833244
2014-08-08,0.0001668530662871
2014-08-09,0.0001664245710472
2014-08-10,0.0001494469679398
2014-08-11,0.0001416284253742
2014-08-12,0.000147543273085
2014-08-13,0.0001434196565774
2014-08-14,0.0001452946813572
2014-08-15,0.0001185079981303
2014-08-16,0.0001348681494233
2014-08-17,0.0001246352421345
2014-08-18,0.000106113132053
2014-08-19,0.0001152748061988
2014-08-20,0.0001302799858746
2014-08-21,0.0001301583063183
2014-08-22,0.0001244588006889
2014-08-23,0.000119024532332
2014-08-24,0.0001227765671575
2014-08-25,0.0001120818970763
2014-08-26,0.000149680807375
2014-08-27,0.0001380585137252
2014-08-28,0.0001324950473299
2014-08-29,0.0001283170264542
2014-08-30,0.0001339582094215
2014-08-31,0.0001327459640283
2014-09-01,0.0001297395646387
2014-09-02,0.0001290890481469
2014-09-03,0.0001372910071354
2014-09-04,0.0001584429211348
2014-09-05,0.0001652703613495
2014-09-06,0.000207438757145
2014-09-07,0.0001872542855744
2014-09-08,0.0001772521540822
2014-09-09,0.0001949727101808
2014-09-10,0.0001867682999511
2014-09-11,0.000207793932788
2014-09-12,0.0002069863905243
2014-09-13,0.000261836137877
2014-09-14,0.0003330560442688
2014-09-15,0.0003256726282413
2014-09-16,0.0002851973287821
2014-09-17,0.0002676521125063
2014-09-18,0.0002961565241351
2014-09-19,0.0002758618552864
2014-09-20,0.0002925220502019
2014-09-21,0.0002854907611704
2014-09-22,0.0002943240938962
2014-09-23,0.0003118918163463
2014-09-24,0.0003479733688193
2014-09-25,0.0003705393881048
2014-09-26,0.0004479541751315
2014-09-27,0.0003763036696807
2014-09-28,0.0003926476462229
2014-09-29,0.0003928151619277
2014-09-30,0.0003990480710408
2014-10-01,0.0003650632103251
2014-10-02,0.0003306803861704
2014-10-03,0.0003207019312445
2014-10-04,0.0002939753799278
2014-10-05,0.0002744643922841
2014-10-06,0.0002934108960687
2014-10-07,0.0002933973791586
2014-10-08,0.0002896746311479
2014-10-09,0.0002900166407795
2014-10-10,0.0002685054654602
2014-10-11,0.0002781405875748
2014-10-12,0.0002912538011214
2014-10-13,0.0002839994254099
2014-10-14,0.0002829795945973
2014-10-15,0.0002715529390521
2014-10-16,0.0002562044971629
2014-10-17,0.0002488511899212
2014-10-18,0.0002550081632366
2014-10-19,0.0002380617241269
2014-10-20,0.0002295952854283
2014-10-21,0.0002280782149918
2014-10-22,0.0002534528592977
2014-10-23,0.0002454756426707
2014-10-24,0.0002501260092304
2014-10-25,0.0002481963683337
2014-10-26,0.000247336403507
2014-10-27,0.0002477028383978
2014-10-28,0.0002539748767451
2014-10-29,0.0002388871638625
2014-10-30,0.0002392157270641
2014-10-31,0.0002353682908824
2014-11-01,0.0002223292584705
2014-11-02,0.0002187454148829
2014-11-03,0.0002137865218495
2014-11-04,0.0002092288537955
2014-11-05,0.0002179796387158
2014-11-06,0.0002262455718608
2014-11-07,0.0002169349832627
2014-11-08,0.0002174830756347
2014-11-09,0.0002208318143963
2014-11-10,0.0002178471843758
2014-11-11,0.0002203664438671
2014-11-12,0.0002358927757852
2014-11-13,0.0002452946883171
2014-11-14,0.0002376176407774
2014-11-15,0.0002252607356421
2014-11-16,0.0002238794125555
2014-11-17,0.0002218785771366
2014-11-18,0.0002124332957756
2014-11-19,0.0002135963057519
2014-11-20,0.0002071507353806
2014-11-21,0.0002067887373984
2014-11-22,0.0002133338703268
2014-11-23,0.000251809567797
2014-11-24,0.0002461049447631
2014-11-25,0.000243378743958
2014-11-26,0.0002341064455982
2014-11-27,0.0002430374745535
2014-11-28,0.0002463075442476
2014-11-29,0.0002414898325871
2014-11-30,0.0002415504301686
2014-12-01,0.0002403400890444
2014-12-02,0.0002378254975163
2014-12-03,0.0002356375838624
2014-12-04,0.0002268832210437
2014-12-05,0.0002338197722341
2014-12-06,0.0002285505488948
2014-12-07,0.0002274430018259
2014-12-08,0.0002193075133266
2014-12-09,0.0002101102728462
2014-12-10,0.0002083252075376
2014-12-11,0.0002041142005223
